"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"127","BTT18","2018-06-13 14:00:00","A69-1602-65064",2.1,"channel","Day",1.037456,"high","seagrass",2,1
"128","BTT27","2018-06-13 14:00:00","A69-1602-65065",2.7,"bank","Day",1.037456,"high","sand",1,6
"129","BTT7","2018-06-13 14:00:00","A69-1602-65066",1.6,"basin","Day",0.688414,"high","seagrass",2,11
"130","BTT49","2018-06-13 14:00:00","A69-1602-65068",3,"channel","Day",0.493627,"high","seagrass",3,8
"131","BTT13","2018-06-13 14:00:00","A69-1602-65069",2.8,"basin","Day",0.915195,"outgoing","seagrass",3,9
"132","BTT54","2018-06-13 14:00:00","A69-1602-65070",3.4,"channel","Day",0.816561,"incoming","sand",1,10
"133","BTT46","2018-06-13 14:00:00","A69-1602-65071",2,"basin","Day",0.493627,"high","seagrass",1,7
"134","BTT17","2018-06-13 14:00:00","A69-1602-65155",3,"bank","Day",0.688414,"high","sand",1,10
"135","BTT37","2018-06-13 14:00:00","A69-1602-65067",3,"bank","Day",0.493627,"high","seagrass",3,10
"136","BTT18","2018-06-13 15:00:00","A69-1602-65064",2.1,"channel","Day",0.915195,"outgoing","seagrass",2,10
"137","BTT27","2018-06-13 15:00:00","A69-1602-65065",2.7,"bank","Day",0.915195,"outgoing","sand",1,8
"138","BTT7","2018-06-13 15:00:00","A69-1602-65066",1.6,"basin","Day",0.636717,"outgoing","seagrass",2,12
"139","BTT49","2018-06-13 15:00:00","A69-1602-65068",3,"channel","Day",0.43455,"outgoing","seagrass",3,9
"140","BTT13","2018-06-13 15:00:00","A69-1602-65069",2.8,"basin","Day",0.713657,"outgoing","seagrass",3,9
"141","BTT54","2018-06-13 15:00:00","A69-1602-65070",3.4,"channel","Day",1.006489,"high","sand",1,6
"142","BTT46","2018-06-13 15:00:00","A69-1602-65071",2,"basin","Day",0.43455,"outgoing","seagrass",1,6
"143","BTT17","2018-06-13 15:00:00","A69-1602-65155",3,"bank","Day",0.636717,"outgoing","sand",1,9
"144","BTT37","2018-06-13 15:00:00","A69-1602-65067",3,"bank","Day",0.43455,"outgoing","seagrass",3,4
"145","BTT18","2018-06-13 16:00:00","A69-1602-65064",2.1,"channel","Day",0.713657,"outgoing","seagrass",2,2
"146","BTT27","2018-06-13 16:00:00","A69-1602-65065",2.7,"bank","Day",0.713657,"outgoing","sand",1,12
"147","BTT7","2018-06-13 16:00:00","A69-1602-65066",1.6,"basin","Day",0.544655,"outgoing","seagrass",2,12
"148","BTT49","2018-06-13 16:00:00","A69-1602-65068",3,"channel","Day",0.323231,"outgoing","seagrass",3,9
"149","BTT13","2018-06-13 16:00:00","A69-1602-65069",2.8,"basin","Day",0.456723,"outgoing","seagrass",3,7
"150","BTT54","2018-06-13 16:00:00","A69-1602-65070",3.4,"channel","Day",1.077698,"high","sand",1,0
"151","BTT46","2018-06-13 16:00:00","A69-1602-65071",2,"basin","Day",0.323231,"outgoing","seagrass",1,1
"152","BTT17","2018-06-13 16:00:00","A69-1602-65155",3,"bank","Day",0.544655,"outgoing","sand",1,8
"153","BTT37","2018-06-13 16:00:00","A69-1602-65067",3,"bank","Day",0.323231,"outgoing","seagrass",3,0
"154","BTT18","2018-06-13 17:00:00","A69-1602-65064",2.1,"channel","Day",0.456723,"outgoing","seagrass",2,0
"155","BTT27","2018-06-13 17:00:00","A69-1602-65065",2.7,"bank","Day",0.456723,"outgoing","sand",1,9
"156","BTT7","2018-06-13 17:00:00","A69-1602-65066",1.6,"basin","Day",0.418699,"outgoing","seagrass",2,11
"157","BTT49","2018-06-13 17:00:00","A69-1602-65068",3,"channel","Day",0.176342,"outgoing","seagrass",3,6
"158","BTT13","2018-06-13 17:00:00","A69-1602-65069",2.8,"basin","Day",0.187375,"outgoing","seagrass",3,7
"159","BTT54","2018-06-13 17:00:00","A69-1602-65070",3.4,"channel","Day",1.037456,"high","sand",1,0
"160","BTT46","2018-06-13 17:00:00","A69-1602-65071",2,"basin","Day",0.176342,"outgoing","seagrass",1,0
"161","BTT17","2018-06-13 17:00:00","A69-1602-65155",3,"bank","Day",0.418699,"outgoing","sand",1,10
"162","BTT37","2018-06-13 17:00:00","A69-1602-65067",3,"bank","Day",0.176342,"outgoing","seagrass",3,9
"163","BTT18","2018-06-13 18:00:00","A69-1602-65064",2.1,"channel","Day",0.187375,"outgoing","seagrass",2,0
"164","BTT27","2018-06-13 18:00:00","A69-1602-65065",2.7,"bank","Day",0.187375,"outgoing","sand",1,10
"165","BTT7","2018-06-13 18:00:00","A69-1602-65066",1.6,"basin","Day",0.273769,"outgoing","seagrass",2,10
"166","BTT49","2018-06-13 18:00:00","A69-1602-65068",3,"channel","Day",0.026307,"outgoing","seagrass",3,4
"167","BTT13","2018-06-13 18:00:00","A69-1602-65069",2.8,"basin","Day",-0.043952,"outgoing","seagrass",3,5
"168","BTT54","2018-06-13 18:00:00","A69-1602-65070",3.4,"channel","Day",0.915195,"outgoing","sand",1,4
"169","BTT46","2018-06-13 18:00:00","A69-1602-65071",2,"basin","Day",0.026307,"outgoing","seagrass",1,0
"170","BTT17","2018-06-13 18:00:00","A69-1602-65155",3,"bank","Day",0.273769,"outgoing","sand",1,6
"171","BTT37","2018-06-13 18:00:00","A69-1602-65067",3,"bank","Day",0.026307,"outgoing","seagrass",3,9
"172","BTT18","2018-06-13 19:00:00","A69-1602-65064",2.1,"channel","Day",-0.043952,"outgoing","seagrass",2,6
"173","BTT27","2018-06-13 19:00:00","A69-1602-65065",2.7,"bank","Day",-0.043952,"outgoing","sand",1,9
"174","BTT7","2018-06-13 19:00:00","A69-1602-65066",1.6,"basin","Day",0.131026,"outgoing","seagrass",2,7
"175","BTT49","2018-06-13 19:00:00","A69-1602-65068",3,"channel","Day",-0.090367,"low","seagrass",3,3
"176","BTT13","2018-06-13 19:00:00","A69-1602-65069",2.8,"basin","Day",-0.196647,"low","seagrass",3,6
"177","BTT54","2018-06-13 19:00:00","A69-1602-65070",3.4,"channel","Day",0.713657,"outgoing","sand",1,3
"178","BTT46","2018-06-13 19:00:00","A69-1602-65071",2,"basin","Day",-0.090367,"low","seagrass",1,0
"179","BTT17","2018-06-13 19:00:00","A69-1602-65155",3,"bank","Day",0.131026,"outgoing","sand",1,0
"180","BTT37","2018-06-13 19:00:00","A69-1602-65067",3,"bank","Day",-0.090367,"low","seagrass",3,11
"181","BTT18","2018-06-13 20:00:00","A69-1602-65064",2.1,"channel","Day",-0.196647,"low","seagrass",2,11
"182","BTT27","2018-06-13 20:00:00","A69-1602-65065",2.7,"bank","Day",-0.196647,"low","sand",1,9
"183","BTT7","2018-06-13 20:00:00","A69-1602-65066",1.6,"basin","Day",0.012137,"outgoing","seagrass",2,11
"184","BTT49","2018-06-13 20:00:00","A69-1602-65068",3,"channel","Day",-0.149066,"low","seagrass",3,2
"185","BTT13","2018-06-13 20:00:00","A69-1602-65069",2.8,"basin","Day",-0.252428,"low","seagrass",3,10
"186","BTT54","2018-06-13 20:00:00","A69-1602-65070",3.4,"channel","Day",0.456723,"outgoing","sand",1,12
"187","BTT46","2018-06-13 20:00:00","A69-1602-65071",2,"basin","Day",-0.149066,"low","seagrass",1,0
"188","BTT17","2018-06-13 20:00:00","A69-1602-65155",3,"bank","Day",0.012137,"outgoing","sand",1,7
"189","BTT37","2018-06-13 20:00:00","A69-1602-65067",3,"bank","Day",-0.149066,"low","seagrass",3,10
"190","BTT18","2018-06-13 21:00:00","A69-1602-65064",2.1,"channel","Night",-0.252428,"low","seagrass",2,10
"191","BTT27","2018-06-13 21:00:00","A69-1602-65065",2.7,"bank","Night",-0.252428,"low","sand",1,5
"192","BTT7","2018-06-13 21:00:00","A69-1602-65066",1.6,"basin","Night",-0.06633,"low","seagrass",2,12
"193","BTT49","2018-06-13 21:00:00","A69-1602-65068",3,"channel","Night",-0.144514,"low","seagrass",3,1
"194","BTT13","2018-06-13 21:00:00","A69-1602-65069",2.8,"basin","Night",-0.183582,"low","seagrass",3,6
"195","BTT54","2018-06-13 21:00:00","A69-1602-65070",3.4,"channel","Night",0.187375,"outgoing","sand",1,11
"196","BTT46","2018-06-13 21:00:00","A69-1602-65071",2,"basin","Night",-0.144514,"low","seagrass",1,2
"197","BTT17","2018-06-13 21:00:00","A69-1602-65155",3,"bank","Night",-0.06633,"low","sand",1,13
"198","BTT37","2018-06-13 21:00:00","A69-1602-65067",3,"bank","Night",-0.144514,"low","seagrass",3,12
"199","BTT18","2018-06-13 22:00:00","A69-1602-65064",2.1,"channel","Night",-0.183582,"low","seagrass",2,6
"200","BTT27","2018-06-13 22:00:00","A69-1602-65065",2.7,"bank","Night",-0.183582,"low","sand",1,0
"201","BTT7","2018-06-13 22:00:00","A69-1602-65066",1.6,"basin","Night",-0.097337,"low","seagrass",2,11
"202","BTT49","2018-06-13 22:00:00","A69-1602-65068",3,"channel","Night",-0.08631,"incoming","seagrass",3,1
"203","BTT13","2018-06-13 22:00:00","A69-1602-65069",2.8,"basin","Night",-0.002288,"incoming","seagrass",3,10
"204","BTT54","2018-06-13 22:00:00","A69-1602-65070",3.4,"channel","Night",-0.043952,"outgoing","sand",1,8
"205","BTT46","2018-06-13 22:00:00","A69-1602-65071",2,"basin","Night",-0.08631,"incoming","seagrass",1,2
"206","BTT17","2018-06-13 22:00:00","A69-1602-65155",3,"bank","Night",-0.097337,"low","sand",1,12
"207","BTT37","2018-06-13 22:00:00","A69-1602-65067",3,"bank","Night",-0.08631,"incoming","seagrass",3,11
"208","BTT18","2018-06-13 23:00:00","A69-1602-65064",2.1,"channel","Night",-0.002288,"incoming","seagrass",2,1
"209","BTT27","2018-06-13 23:00:00","A69-1602-65065",2.7,"bank","Night",-0.002288,"incoming","sand",1,0
"210","BTT7","2018-06-13 23:00:00","A69-1602-65066",1.6,"basin","Night",-0.052139,"low","seagrass",2,9
"211","BTT49","2018-06-13 23:00:00","A69-1602-65068",3,"channel","Night",0.000419,"incoming","seagrass",3,1
"212","BTT13","2018-06-13 23:00:00","A69-1602-65069",2.8,"basin","Night",0.21547,"incoming","seagrass",3,10
"213","BTT54","2018-06-13 23:00:00","A69-1602-65070",3.4,"channel","Night",-0.196647,"low","sand",1,9
"214","BTT46","2018-06-13 23:00:00","A69-1602-65071",2,"basin","Night",0.000419,"incoming","seagrass",1,1
